"item","subject","y","a","z"
1,1,0.262968022274714,0,-1.18007725008452
2,1,2.0287547302391,1,-1.18007725008452
3,1,NA,0,-1.18007725008452
4,1,2.82097532231552,1,-1.18007725008452
5,1,1.73734759066968,0,-1.18007725008452
6,1,2.43016290615305,1,-1.18007725008452
7,1,NA,0,-1.18007725008452
8,1,1.39239165772364,1,-1.18007725008452
9,1,0.839370504181821,0,-1.18007725008452
10,1,NA,1,-1.18007725008452
11,1,0.26786893988821,0,-1.18007725008452
12,1,1.33837052493473,1,-1.18007725008452
13,1,0.0517245267021979,0,-1.18007725008452
14,1,0.495183820716657,1,-1.18007725008452
15,1,1.99133353863914,0,-1.18007725008452
16,1,1.88581050704449,1,-1.18007725008452
17,1,1.01115646787132,0,-1.18007725008452
18,1,0.934250944977357,1,-1.18007725008452
19,1,0.7302253004325,0,-1.18007725008452
20,1,NA,1,-1.18007725008452
21,1,0.252411493970124,0,-1.18007725008452
22,1,0.951836787161865,1,-1.18007725008452
23,1,1.35207611625747,0,-1.18007725008452
24,1,1.02488705061583,1,-1.18007725008452
25,1,-0.610538176383531,0,-1.18007725008452
26,1,2.52682341061223,1,-1.18007725008452
27,1,0.861670497003859,0,-1.18007725008452
28,1,0.840512180051172,1,-1.18007725008452
29,1,-0.335759484484082,0,-1.18007725008452
30,1,0.653182081179312,1,-1.18007725008452
31,1,0.512545516752797,0,-1.18007725008452
32,1,1.90790501122543,1,-1.18007725008452
33,1,1.86532980273714,0,-1.18007725008452
34,1,2.35506912286884,1,-1.18007725008452
35,1,0.273664392170834,0,-1.18007725008452
36,1,1.55979549179976,1,-1.18007725008452
37,1,1.85839884286787,0,-1.18007725008452
38,1,1.5587256857379,1,-1.18007725008452
39,1,NA,0,-1.18007725008452
40,1,0.987347899631148,1,-1.18007725008452
41,1,-0.408251513620485,0,-1.18007725008452
42,1,-0.29337725980167,1,-1.18007725008452
43,1,1.94673568399552,0,-1.18007725008452
44,1,1.74753223243289,1,-1.18007725008452
45,1,1.06492480131094,0,-1.18007725008452
46,1,1.35472027102335,1,-1.18007725008452
47,1,-0.0744072168523534,0,-1.18007725008452
48,1,1.30275327130916,1,-1.18007725008452
49,1,0.0485980027000303,0,-1.18007725008452
50,1,1.01793782064771,1,-1.18007725008452
1,2,NA,0,NA
2,2,0.357892172758087,1,NA
3,2,0.0128784803065047,0,NA
4,2,1.29960278076186,1,NA
5,2,-0.848008436706325,0,NA
6,2,1.60224430309916,1,NA
7,2,NA,0,NA
8,2,0.721188099742175,1,NA
9,2,-0.803039943672307,0,NA
10,2,-0.548981973038646,1,NA
11,2,-0.929498920764257,0,NA
12,2,0.934151727503519,1,NA
13,2,-0.828651209551801,0,NA
14,2,-0.628638172004225,1,NA
15,2,0.750787456109847,0,NA
16,2,NA,1,NA
17,2,-1.98085747659186,0,NA
18,2,0.370734772465085,1,NA
19,2,0.142013233831752,0,NA
20,2,-0.103393704619894,1,NA
21,2,-1.35644019438277,0,NA
22,2,0.708843602381902,1,NA
23,2,1.79277721549046,0,NA
24,2,-0.476216074963938,1,NA
25,2,-1.72794064296802,0,NA
26,2,-0.101641586806551,1,NA
27,2,-1.02927087802925,0,NA
28,2,-1.26743169041789,1,NA
29,2,-1.26081304304589,0,NA
30,2,-0.186448379599688,1,NA
31,2,0.124564370142636,0,NA
32,2,-0.300440664844109,1,NA
33,2,-1.20324473795426,0,NA
34,2,-1.01072644767406,1,NA
35,2,NA,0,NA
36,2,-0.137423054499045,1,NA
37,2,-0.247739863073882,0,NA
38,2,-0.192609184842732,1,NA
39,2,-0.506054700993364,0,NA
40,2,0.512089512348119,1,NA
41,2,-0.250179298407922,0,NA
42,2,-1.26048390469312,1,NA
43,2,0.306635384333479,0,NA
44,2,-0.668923123471038,1,NA
45,2,1.03633183628183,0,NA
46,2,0.452115182949532,1,NA
47,2,-1.03750252395061,0,NA
48,2,0.00138618179833463,1,NA
49,2,-0.820459956826842,0,NA
50,2,-0.351914974497382,1,NA
1,3,-1.11906271456719,0,0.686535776460387
2,3,-1.44904622501817,1,0.686535776460387
3,3,NA,0,0.686535776460387
4,3,1.42656625218802,1,0.686535776460387
5,3,-0.180531211260869,0,0.686535776460387
6,3,NA,1,0.686535776460387
7,3,-3.50980920798722,0,0.686535776460387
8,3,-1.35055741706578,1,0.686535776460387
9,3,-0.947735976047643,0,0.686535776460387
10,3,-0.389705188899441,1,0.686535776460387
11,3,NA,0,0.686535776460387
12,3,-0.373522487393205,1,0.686535776460387
13,3,-3.64647852443374,0,0.686535776460387
14,3,-0.880241188760959,1,0.686535776460387
15,3,0.0168896429394983,0,0.686535776460387
16,3,0.45322959693299,1,0.686535776460387
17,3,-2.12156427528647,0,0.686535776460387
18,3,-0.820850261216275,1,0.686535776460387
19,3,-1.5295932055872,0,0.686535776460387
20,3,0.238164435675977,1,0.686535776460387
21,3,0.249479507132863,0,0.686535776460387
22,3,-0.084146719914773,1,0.686535776460387
23,3,-0.735981692379681,0,0.686535776460387
24,3,0.251017843468558,1,0.686535776460387
25,3,-2.3995542050855,0,0.686535776460387
26,3,-0.266264950323988,1,0.686535776460387
27,3,-2.5720666471967,0,0.686535776460387
28,3,-1.55360661778971,1,0.686535776460387
29,3,-1.24357362367105,0,0.686535776460387
30,3,-1.68819576966225,1,0.686535776460387
